# ELektron2 C++ Simulation Results
# Date: 2026-03-09 11:04:03
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 450289 ms
# Total simulations: 2400
# Detected: 80
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
52 700.82732813356881 2.5129923746718999e-16 14663.995543332994 701.19675307178943 2.8873981265404015e-16 14663.028348902335 0.0034571431400362593 9.1673315362884668e-22 0.13883082701899702 0.93417572739988286 -7.0428764217296591e-17 0.35681327181879929 5000 5000.0000015546657 87.263780027702964 1197749 5474 -378.80735265995639 1.9616909966608105 24.90184070979566 6.6032391603012266e-18
53 -787.69512994963316 6.0793187532292296e-17 14663.997859417488 -788.17978319368433 4.2402057472285568e-17 14664.775205603712 -0.0033785032900558979 2.5274735610479602e-22 0.13883276296668526 -0.84858071278453406 9.3032671550522187e-17 -0.5290659447586824 5000 4999.9999983912676 93.074759952041703 1198298 5153 335.33842409311217 4.197728833745713 -24.335057646779052 1.820516646819498e-18
54 911.1762528161122 -1.031786837474128e-12 14664.041088403974 912.46551807115429 -1.0316729557319673e-12 14662.9085283492 0.020574546288660428 -2.3301579928993406e-17 0.52199463720305272 0.65997300611046561 -1.7953830626723666e-17 0.75128931346063832 5000 88272.487083269662 86.444396253630742 537327 2364 -46.91828131692963 4.4999253983295455 39.415244568225425 -4.4639500616036471e-14
55 -604.63607335787242 4.3997662330853426e-17 14663.996956630725 -605.27300831395007 4.4071188305093613e-17 14664.626711372342 -0.0053561797319118714 3.3496162469956987e-22 0.13877053612476037 -0.70308725912199266 9.5233234300742063e-17 -0.71110358243350302 5000 4999.9999984516307 92.361121773595357 1198425 5560 513.19337020355135 1.252547015494665 -38.597384441150012 2.4137805765802167e-18
56 639.87016552664738 -1.1171312931159114e-16 14664.01238286805 639.25298835948843 -1.140871911737495e-16 14664.659524829976 0.0011550638154531883 -4.5662838080563796e-22 0.13886906135470775 -0.72366223894601722 9.5727811687065541e-17 -0.69015430478884998 5000 5000.0000027348133 87.50146025154956 1197003 5001 -51.202544752993553 1.2038698414982851 8.3176468839438211 -3.2881937585744184e-18
57 809.99277430324207 -1.989915460180333e-16 14664.012181301905 810.04152548796822 -2.6295757842086724e-16 14664.99516721175 0.0033451229938399377 -1.0750755452243918e-21 0.13883357130590121 -0.99877243145263861 6.6816224185154999e-17 0.049534116335749945 5000 5000.0000015349233 86.838378654158262 1197233 5270 -180.31168986752152 0.71956892206272061 24.094482064927988 -7.7436281089075107e-18
58 -1334.3535986286595 9.7781677190325012e-17 14664.018633270629 -1333.31837561928 6.8422777499181879e-18 14664.464801640259 -0.0066380267524952389 4.4864832304682261e-22 0.13871512879836975 -0.39579310629385273 -2.434119792122894e-17 0.9183397067645247 5000 4999.9999981992851 95.199315491778322 1199156 5425 176.44153168675209 4.6476678105045295 -47.853661024559074 3.2343142880900769e-18
59 1000.2515268942022 9.5219673485304139e-17 14664.011745028381 1001.3777783556035 3.6402950251449022e-17 14663.850748602321 0.0040033984679180385 1.3239561808307539e-22 0.1388161487845371 0.14151038913617567 -6.1243039306112554e-17 0.98993677115851297 5000 4999.9999997641917 86.097824027972194 1198198 4947 149.48478485309317 6.1765537636596202 28.839573082609405 9.5374795542392315e-19
60 -977.47136028048362 7.80567349759809e-17 14664.006027289279 -978.28322334795769 1.0855170589538339e-16 14664.316697031558 -0.0040512838794540046 3.0810787693073564e-22 0.13881475950359415 -0.35738988237369768 8.7944908630694867e-17 -0.93395528422679031 5000 4999.9999983038997 93.81357286879188 1198445 5367 209.32241790492822 4.0791985832864919 -29.184820792410839 2.2195613638819022e-18
61 -225.73197671010379 3.998981706541286e-17 14664.007971958466 -226.45109278926026 1.1577727343851894e-16 14663.495069295421 0.0046483266226574494 -3.7944666779448809e-22 0.13879604971265491 0.58067455147371982 2.3756073062947315e-17 -0.81413577832487205 5000 4999.9999980714101 90.88191905990692 1197732 5022 97.324221436468008 2.7686848042762096 33.490338033976712 -2.7338434240747094e-18
62 731.36655738267893 -8.0446920078977743e-18 14664.005293189535 731.06610468446252 -4.4610002525475208e-17 14664.893239510449 0.0017923427248710024 -1.023738257088092e-22 0.13886229825563107 -0.94724284725670183 8.6528235867077174e-17 -0.32051675058336743 5000 5000.000001504628 87.144741684613408 1197986 5418 -209.61618876862914 0.043254530892455567 12.907338762112992 -7.3723269018887779e-19
